X1,X2,Y
7,89,0
13,63,0
45,23,0
99,16,1
81,22,1
98,60,1
66,34,1
52,67,1
52,20,1
15,83,0
95,42,1
83,81,1
64,34,1
56,98,1
26,69,0
97,77,1
38,49,0
2,48,0
79,52,1
25,68,0
51,62,1
99,53,1
79,58,1
62,46,1
14,16,0
85,98,1
66,37,1
53,76,1
54,31,1
78,45,1
11,69,0
77,84,1
23,10,0
36,79,0
100,70,1
45,9,0
95,98,1
97,22,1
78,87,1
27,71,0
74,99,1
76,50,1
72,72,1
57,55,1
93,46,1
79,47,1
51,95,1
34,40,0
72,11,1
29,71,0
70,85,1
2,9,0
87,82,1
41,1,0
28,8,0
49,26,0
53,67,1
84,90,1
23,8,0
100,22,1
66,18,1
38,74,0
96,33,1
43,29,0
42,31,0
98,58,1
79,17,1
96,84,1
45,23,0
33,28,0
100,59,1
1,1,0
43,71,0
59,21,1
99,22,1
76,11,1
8,79,0
90,70,1
51,92,1
66,70,1
76,30,1
34,48,0
68,4,1
83,66,1
42,48,0
75,71,1
2,62,0
63,60,1
30,78,0
78,51,1
98,15,1
14,87,0
49,36,0
99,77,1
33,62,0
76,14,1
71,83,1
29,61,0
32,56,0
95,97,1
